1	2	3
1	3	4
1	4	5
1	5	2
2	6	7
2	7	3
3	7	8
3	8	9
3	9	4
4	9	10
4	10	11
4	11	5
5	11	12
5	12	13
5	13	2
2	13	6
6	14	15
6	15	7
7	15	16
7	16	8
8	16	17
8	17	18
8	18	9
9	18	19
9	19	10
10	19	20
10	20	21
10	21	11
11	21	22
11	22	12
12	22	23
12	23	24
12	24	13
13	24	25
13	25	6
6	25	14
14	26	27
14	27	15
15	27	28
15	28	16
16	28	29
16	29	17
17	29	30
17	30	31
17	31	18
18	31	32
18	32	19
19	32	33
19	33	20
20	33	34
20	34	35
20	35	21
21	35	36
21	36	22
22	36	37
22	37	23
23	37	38
23	38	39
23	39	24
24	39	40
24	40	25
25	40	41
25	41	14
14	41	26
