1 2 3
1 3 4
1 4 5
1 5 6	
1 6 7 
1 7 8
1 8 9
1 9 2
2 10 11 
2 11 3
3 11 12
3 12 4
4 12 13
4 13 14
4 14 5
5 14 15
5 15 6
6 15 16
6 16 17
6 17 7
7 17 18
7 18 8
8 18 19
8 19 20
8 20 9
9 20 21
9 21 2
2 21 10
10 22 23
10 23 11
11 23 24
11 24 12
12 24 25
12 25 13
13 25 26
13 26 27
13 27 14
14 27 28
14 28 15
15 28 29
15 29 16
16 29 30
16 30 31
16 31 17
17 31 32
17 32 18
18 32 33
18 33 19
19 33 34
19 34 35
19 35 20
20 35 36
20 36 21
21 36 37
21 37 10
10 37 22 
