     x            y
6.000000     0.000000
5.543277     2.296101
4.242641     4.242641
2.296101     5.543277
0.000000     6.000000
-2.296101     5.543277
-4.242641     4.242641
-5.543277     2.296101
-6.000000     0.000000
-5.543277    -2.296101
-4.242641    -4.242641
-2.296101    -5.543277
-0.000000    -6.000000
2.296101    -5.543277
4.242641    -4.242641
5.543277    -2.296101
4.000000    -0.000000
2.828427     2.828427
0.000000     4.000000
-2.828427     2.828427
-4.000000     0.000000
-2.828427    -2.828427
-0.000000    -4.000000
2.828427    -2.828427
1.847759    -0.765367
1.847759     0.765367
0.765367     1.847759
-0.765367     1.847759
-1.847759     0.765367
-1.847759    -0.765367
-0.765367    -1.847759
0.765367    -1.847759
0.000000     0.000000
